Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Goulburn Valley,Welsh,4,0,0,0,4,4,0,0,0,4
Greater Dandenong,Arabic,662,410,82,78,92,555,0,107,570,92
Greater Dandenong,Bosnian,388,261,112,6,9,319,0,69,387,1
Greater Dandenong,Chinese,5454,3421,1284,331,418,4832,0,622,3911,1543
Greater Dandenong,Croatian,600,470,104,11,15,572,0,28,589,11
Greater Dandenong,French,1202,276,93,87,746,1139,0,63,457,745
Greater Dandenong,Greek,726,408,108,199,11,646,0,80,718,8
Greater Dandenong,Hindi,503,255,76,143,29,412,0,91,484,19
Greater Dandenong,Italian,800,335,103,108,254,742,0,58,550,250
Greater Dandenong,Khmer,1136,686,367,79,4,966,0,170,1136,0
Greater Dandenong,Malayalam,5,0,0,0,5,5,0,0,4,1
Greater Dandenong,Panjabi,1081,710,212,154,5,1005,0,76,1078,3
Greater Dandenong,Persian,927,532,331,41,23,803,0,124,907,20
Greater Dandenong,Serbian,148,92,52,4,0,109,0,39,148,0
Greater Dandenong,Serbian,1004,733,193,66,12,995,0,9,1000,4
Greater Dandenong,Sinhalese,1652,1235,344,71,2,1476,0,176,1650,2
Greater Dandenong,Spanish,719,347,94,80,198,618,0,101,522,197
Greater Dandenong,Tamil,1225,761,266,189,9,1132,0,93,1221,4
Greater Dandenong,Urdu,274,209,61,0,4,189,0,85,272,2
Greater Dandenong,Vietnamese,3744,2384,927,420,13,3245,0,499,3741,3
High Country,Chinese,1,0,0,0,1,1,0,0,1,0
High Country,Chinese,1,1,0,0,0,1,0,0,1,0
High Country,French,2,0,0,2,0,2,0,0,2,0
High Country,French,1,0,0,0,0,0,0,1,1,0
High Country,French,7,6,1,0,0,7,0,0,7,0
High Country,Italian,284,163,80,41,0,278,1,5,284,0
High Country,Italian,2,0,0,2,0,2,0,0,2,0
High Country,Italian,1,0,0,1,0,1,0,0,1,0
High Country,Italian,226,136,4,86,0,214,0,12,226,0
High Country,Spanish,4,3,0,1,0,2,0,2,4,0
High Country,Spanish,1,0,0,1,0,1,0,0,1,0
High Country,Spanish,42,30,10,2,0,40,0,2,42,0
Hobsons Bay,Arabic,744,332,161,153,98,520,0,224,646,98
Hobsons Bay,Chinese,2185,875,524,475,311,1895,0,290,1877,308
Hobsons Bay,Croatian,678,450,63,155,10,630,0,48,670,8
Hobsons Bay,Greek,860,431,145,273,11,734,0,126,853,7
Hobsons Bay,Italian,2214,1087,396,569,162,2075,0,139,2054,160
Hobsons Bay,Maltese,543,149,54,340,0,540,0,3,543,0
Hobsons Bay,Polish,1033,548,268,201,16,957,0,76,1018,15
Hobsons Bay,Vietnamese,1425,621,478,318,8,1218,0,207,1420,5
Hume,Arabic,1478,1134,208,128,8,947,3,528,1478,0
Hume,Chinese,614,306,98,201,9,534,0,80,614,0
Hume,Farsi,238,160,54,24,0,157,0,81,238,0
Hume,Greek,344,247,24,25,48,344,0,0,344,0
Hume,Hindi,883,454,137,249,43,655,0,228,883,0
Hume,Italian,400,261,31,108,0,400,0,0,400,0
Hume,Nepali,151,150,1,0,0,0,0,151,151,0
Hume,Panjabi,934,639,204,91,0,685,0,249,934,0
Hume,Sinhalese,1506,1184,257,53,12,1147,0,359,1506,0
Hume,Spanish,88,0,0,88,0,88,0,0,88,0
Hume,Tamil,689,470,118,87,14,536,0,153,689,0
Hume,Turkish,1658,1309,252,77,20,1247,3,408,1658,0
Hume,Urdu,425,324,101,0,0,278,0,147,425,0
Hume,Vietnamese,341,230,51,39,21,193,0,148,341,0
Kingston,Arabic,337,42,4,289,2,295,0,42,316,21
Kingston,Chinese,2560,1295,185,1072,8,2409,0,151,2522,38
Kingston,Greek,1208,615,146,439,8,1156,0,52,1187,21
Kingston,Italian,1476,598,146,724,8,1395,0,81,1413,63
Kingston,Vietnamese,752,440,94,218,0,692,0,60,727,25
Latrobe,Afrikaans,31,0,0,0,31,0,0,0,0,31
Latrobe,Albanian,4,0,0,0,4,0,0,0,0,4
Latrobe,Arabic,98,0,0,0,98,0,0,0,0,98
Latrobe,Armenian,1,0,0,0,1,0,0,0,0,1
Latrobe,Belarusian,6,0,0,0,6,0,0,0,0,6
Latrobe,Bosnian,2,0,0,0,2,0,0,0,0,2
Latrobe,Bulgarian,1,0,0,0,1,0,0,0,0,1
Latrobe,Burmese,1,0,0,0,1,0,0,0,0,1
Latrobe,Catalan,20,0,0,0,20,0,0,0,0,20
Latrobe,Cebuano,3,0,0,0,3,0,0,0,0,3
Latrobe,Chinese,197,29,168,0,0,185,0,12,197,0
Latrobe,Chinese,307,0,0,0,307,0,0,0,0,307
Latrobe,Croatian,8,0,0,0,8,0,0,0,0,8
Latrobe,Czech,7,0,0,0,7,0,0,0,0,7
Latrobe,Danish,58,0,0,0,58,0,0,0,0,58
Latrobe,Dutch,20,0,0,0,20,0,0,0,0,20
Latrobe,Finnish,47,0,0,0,47,0,0,0,0,47
Latrobe,French,527,0,0,0,527,0,0,0,0,527
Latrobe,German,371,0,0,0,371,0,0,0,0,371
Latrobe,Greek,7,0,0,0,7,0,0,0,0,7
Latrobe,Gujarati,4,0,0,0,4,0,0,0,0,4
Latrobe,Hebrew,3,0,0,0,3,0,0,0,0,3
Latrobe,Hindi,23,0,0,0,23,0,0,0,0,23
Latrobe,Hungarian,14,0,0,0,14,0,0,0,0,14
Latrobe,Icelandic,6,0,0,0,6,0,0,0,0,6
Latrobe,Indonesian,16,0,0,0,16,0,0,0,0,16
Latrobe,Italian,153,0,0,0,153,0,0,0,0,153
Latrobe,Japanese,43,0,0,0,43,0,0,0,0,43
Latrobe,Kannada,2,0,0,0,2,0,0,0,0,2
Latrobe,Korean,10,0,0,0,10,0,0,0,0,10
Latrobe,Lithuanian,1,0,0,0,1,0,0,0,0,1
Latrobe,Malayalam,9,0,0,0,9,0,0,0,0,9
Latrobe,Marathi,3,0,0,0,3,0,0,0,0,3
Latrobe,Norwegian,164,0,0,0,164,0,0,0,0,164
Latrobe,Odia,2,0,0,0,2,0,0,0,0,2
Latrobe,Panjabi,3,0,0,0,3,0,0,0,0,3
Latrobe,Persian,32,0,0,0,32,0,0,0,0,32
Latrobe,Polish,15,0,0,0,15,0,0,0,0,15
Latrobe,Portuguese,304,0,0,0,304,0,0,0,0,304
Latrobe,Romanian,32,0,0,0,32,0,0,0,0,32
Latrobe,Russian,289,0,0,0,289,0,0,0,0,289
Latrobe,Sami,1,0,0,0,1,0,0,0,0,1
Latrobe,Serbian,6,0,0,0,6,0,0,0,0,6
